Source,year,count
               Delhi High Court             ,1800,45
               Delhi High Court             ,1955,1
               Delhi High Court             ,1966,42
               Delhi High Court             ,1967,215
               Delhi High Court             ,1968,221
               Delhi High Court             ,1969,224
               Bombay High Court             ,1800,275
               Bombay High Court             ,1868,1
               Bombay High Court             ,1874,1
               Delhi High Court             ,1970,301
               Delhi High Court             ,1971,384
               Delhi High Court             ,1972,315
               Delhi High Court             ,1973,311
               Delhi High Court             ,1974,259
               Delhi High Court             ,1975,233
               Delhi High Court             ,1976,220
               Delhi High Court             ,1977,175
               Delhi High Court             ,1978,238
               Delhi High Court             ,1979,314
               Delhi High Court             ,1980,467
               Delhi High Court             ,1981,452
               Bombay High Court             ,1875,23
               Bombay High Court             ,1876,49
               Bombay High Court             ,1877,63
               Bombay High Court             ,1878,40
               Bombay High Court             ,1879,3
               Bombay High Court             ,1880,1
               Bombay High Court             ,1881,5
               Bombay High Court             ,1882,26
               Bombay High Court             ,1883,76
               Bombay High Court             ,1884,55
               Bombay High Court             ,1885,51
               Bombay High Court             ,1886,3
               Bombay High Court             ,1887,76
               Bombay High Court             ,1888,124
               Bombay High Court             ,1889,34
               Bombay High Court             ,1895,1
               Bombay High Court             ,1901,1
               Delhi High Court             ,1982,408
               Delhi High Court             ,1983,396
               Delhi High Court             ,1984,493
               Delhi High Court             ,1985,518
               Delhi High Court             ,1986,451
               Delhi High Court             ,1987,570
               Delhi High Court             ,1988,403
               Delhi High Court             ,1989,614
               Delhi High Court             ,1990,570
               Delhi High Court             ,1991,821
               Delhi High Court             ,1992,696
               Delhi High Court             ,1993,718
               Delhi High Court             ,1994,858
               Delhi High Court             ,1995,1018
               Delhi High Court             ,1996,1041
               Delhi High Court             ,1997,1106
               Delhi High Court             ,1998,1122
               Delhi High Court             ,1999,1282
               Delhi High Court             ,2000,1321
               Gujarat High Court             ,1010,1
               Gujarat High Court             ,1800,33543
               Gujarat High Court             ,1928,1
               Gujarat High Court             ,1947,1
               Gujarat High Court             ,1951,10
               Gujarat High Court             ,1952,16
               Gujarat High Court             ,1953,6
               Gujarat High Court             ,1954,24
               Gujarat High Court             ,1955,7
               Gujarat High Court             ,1960,109
               Madras High Court             ,3,2
               Madras High Court             ,4,1
               Madras High Court             ,5,1
               Madras High Court             ,6,1
               Madras High Court             ,7,1
               Madras High Court             ,9,1
               Madras High Court             ,10,3
               Madras High Court             ,11,2
               Madras High Court             ,12,4
               Madras High Court             ,13,3
               Madras High Court             ,14,6
               Madras High Court             ,15,2
               Bombay High Court             ,1902,33
               Bombay High Court             ,1903,38
               Bombay High Court             ,1904,3
               Bombay High Court             ,1905,22
               Bombay High Court             ,1906,163
               Bombay High Court             ,1907,214
               Bombay High Court             ,1908,174
               Bombay High Court             ,1909,157
               Bombay High Court             ,1910,166
               Bombay High Court             ,1911,197
               Bombay High Court             ,1912,260
               Bombay High Court             ,1913,149
               Bombay High Court             ,1914,177
               Bombay High Court             ,1915,184
               Bombay High Court             ,1916,187
               Bombay High Court             ,1917,155
               Bombay High Court             ,1918,215
               Bombay High Court             ,1919,271
               Bombay High Court             ,1920,299
               Bombay High Court             ,1921,276
               Bombay High Court             ,1922,308
               Delhi High Court             ,2001,2021
               Delhi High Court             ,2002,2184
               Delhi High Court             ,2003,1439
               Delhi High Court             ,2004,1484
               Delhi High Court             ,2005,1812
               Delhi High Court             ,2006,2326
               Delhi High Court             ,2007,2492
               Delhi High Court             ,2008,2321
               Delhi High Court             ,2009,5433
               Delhi High Court             ,2010,5925
               Delhi High Court             ,2011,6385
               Delhi High Court             ,2012,7361
               Delhi High Court             ,2013,5932
               Delhi High Court             ,2014,7193
               Delhi High Court             ,2015,9619
               Delhi High Court             ,2016,7583
               Delhi High Court             ,2017,7415
               Delhi High Court             ,2018,7634
               Gujarat High Court             ,1961,153
               Gujarat High Court             ,1962,150
               Gujarat High Court             ,1963,136
               Gujarat High Court             ,1964,156
               Gujarat High Court             ,1965,167
               Gujarat High Court             ,1966,134
               Gujarat High Court             ,1967,162
               Gujarat High Court             ,1968,151
               Gujarat High Court             ,1969,103
               Gujarat High Court             ,1970,142
               Gujarat High Court             ,1971,105
               Gujarat High Court             ,1972,140
               Gujarat High Court             ,1973,156
               Gujarat High Court             ,1974,152
               Gujarat High Court             ,1975,163
               Gujarat High Court             ,1976,155
               Gujarat High Court             ,1977,139
               Gujarat High Court             ,1978,171
               Gujarat High Court             ,1979,180
               Madras High Court             ,16,4
               Madras High Court             ,17,3
               Madras High Court             ,18,11
               Madras High Court             ,19,7
               Madras High Court             ,20,2
               Madras High Court             ,94,1
               Madras High Court             ,97,3
               Madras High Court             ,99,3
               Madras High Court             ,201,2
               Madras High Court             ,203,1
               Madras High Court             ,207,1
               Bombay High Court             ,1923,282
               Bombay High Court             ,1924,319
               Bombay High Court             ,1925,456
               Bombay High Court             ,1926,377
               Bombay High Court             ,1927,235
               Bombay High Court             ,1928,291
               Bombay High Court             ,1929,245
               Bombay High Court             ,1930,287
               Bombay High Court             ,1931,255
               Bombay High Court             ,1932,218
               Bombay High Court             ,1933,212
               Bombay High Court             ,1934,191
               Bombay High Court             ,1935,183
               Bombay High Court             ,1936,225
               Bombay High Court             ,1937,232
               Bombay High Court             ,1938,187
               Bombay High Court             ,1939,190
               Bombay High Court             ,1940,177
               Delhi High Court             ,2019,5817
               Delhi High Court             ,2020,2835
               Gujarat High Court             ,1980,271
               Gujarat High Court             ,1981,234
               Gujarat High Court             ,1982,216
               Gujarat High Court             ,1983,233
               Gujarat High Court             ,1984,253
               Gujarat High Court             ,1985,297
               Gujarat High Court             ,1986,166
               Gujarat High Court             ,1987,154
               Gujarat High Court             ,1988,215
               Gujarat High Court             ,1989,186
               Gujarat High Court             ,1990,252
               Gujarat High Court             ,1991,343
               Gujarat High Court             ,1992,367
               Gujarat High Court             ,1993,473
               Gujarat High Court             ,1994,339
               Gujarat High Court             ,1995,483
               Gujarat High Court             ,1996,499
               Madras High Court             ,208,3
               Madras High Court             ,209,1
               Madras High Court             ,216,3
               Madras High Court             ,219,3
               Madras High Court             ,1017,1
               Madras High Court             ,1800,11613
               Madras High Court             ,1867,1
               Madras High Court             ,1868,1
               Madras High Court             ,1871,1
               Madras High Court             ,1879,1
               Madras High Court             ,1880,3
               Madras High Court             ,1881,9
               Madras High Court             ,1882,160
               Madras High Court             ,1883,175
               Madras High Court             ,1884,74
               Madras High Court             ,1885,1
               Madras High Court             ,1886,2
               Madras High Court             ,1887,4
               Madras High Court             ,1888,5
               Madras High Court             ,1889,9
               Bombay High Court             ,1941,158
               Bombay High Court             ,1942,199
               Bombay High Court             ,1943,208
               Bombay High Court             ,1944,190
               Bombay High Court             ,1945,211
               Bombay High Court             ,1946,178
               Bombay High Court             ,1947,119
               Bombay High Court             ,1948,195
               Bombay High Court             ,1949,197
               Gujarat High Court             ,1997,560
               Gujarat High Court             ,1998,834
               Gujarat High Court             ,1999,1019
               Gujarat High Court             ,2000,1636
               Gujarat High Court             ,2001,1359
               Gujarat High Court             ,2002,2138
               Gujarat High Court             ,2003,2727
               Gujarat High Court             ,2004,3965
               Gujarat High Court             ,2005,3713
               Gujarat High Court             ,2006,4902
               Gujarat High Court             ,2007,7220
               Gujarat High Court             ,2008,56370
               Gujarat High Court             ,2009,6802
               Gujarat High Court             ,2010,89045
               Gujarat High Court             ,2011,90651
               Madras High Court             ,1890,98
               Madras High Court             ,1891,191
               Madras High Court             ,1892,240
               Madras High Court             ,1893,174
               Madras High Court             ,1894,174
               Madras High Court             ,1895,130
               Madras High Court             ,1896,155
               Madras High Court             ,1897,203
               Madras High Court             ,1898,106
               Madras High Court             ,1899,34
               Madras High Court             ,1900,151
               Madras High Court             ,1901,193
               Madras High Court             ,1902,160
               Madras High Court             ,1903,105
               Madras High Court             ,1904,86
               Madras High Court             ,1905,141
               Madras High Court             ,1906,106
               Madras High Court             ,1907,34
               Madras High Court             ,1908,233
               Madras High Court             ,1909,439
               Madras High Court             ,1910,548
               Madras High Court             ,1911,431
               Bombay High Court             ,1950,134
               Bombay High Court             ,1951,192
               Bombay High Court             ,1952,191
               Bombay High Court             ,1953,188
               Bombay High Court             ,1954,190
               Bombay High Court             ,1955,367
               Bombay High Court             ,1956,214
               Bombay High Court             ,1957,356
               Bombay High Court             ,1958,333
               Bombay High Court             ,1959,236
               Bombay High Court             ,1960,217
               Bombay High Court             ,1961,170
               Bombay High Court             ,1962,211
               Bombay High Court             ,1963,119
               Bombay High Court             ,1964,110
               Bombay High Court             ,1965,190
               Bombay High Court             ,1966,123
               Bombay High Court             ,1967,172
               Bombay High Court             ,1968,212
               Bombay High Court             ,1969,174
               Bombay High Court             ,1970,202
               Bombay High Court             ,1971,157
               Bombay High Court             ,1972,140
               Bombay High Court             ,1973,165
               Gujarat High Court             ,2012,58136
               Gujarat High Court             ,2013,88166
               Gujarat High Court             ,2014,123403
               Gujarat High Court             ,2015,133311
               Gujarat High Court             ,2016,134861
               Gujarat High Court             ,2017,148199
               Gujarat High Court             ,2018,148795
               Gujarat High Court             ,2019,156225
               Gujarat High Court             ,2020,120429
               Gujarat High Court             ,2021,1
               Gujarat High Court             ,2026,2
               Gujarat High Court             ,2086,1
               Gujarat High Court             ,2103,1
               Madras High Court             ,1912,713
               Madras High Court             ,1913,334
               Madras High Court             ,1914,497
               Madras High Court             ,1915,737
               Madras High Court             ,1916,532
               Madras High Court             ,1917,478
               Madras High Court             ,1918,384
               Madras High Court             ,1919,376
               Madras High Court             ,1920,375
               Madras High Court             ,1921,320
               Madras High Court             ,1922,401
               Madras High Court             ,1923,494
               Madras High Court             ,1924,853
               Madras High Court             ,1925,762
               Madras High Court             ,1926,718
               Madras High Court             ,1927,697
               Madras High Court             ,1928,473
               Madras High Court             ,1929,564
               Madras High Court             ,1930,310
               Madras High Court             ,1931,341
               Bombay High Court             ,1974,171
               Bombay High Court             ,1975,252
               Bombay High Court             ,1976,309
               Bombay High Court             ,1977,331
               Bombay High Court             ,1978,286
               Bombay High Court             ,1979,340
               Bombay High Court             ,1980,306
               Bombay High Court             ,1981,442
               Bombay High Court             ,1982,445
               Bombay High Court             ,1983,479
               Bombay High Court             ,1984,551
               Bombay High Court             ,1985,452
               Bombay High Court             ,1986,462
               Bombay High Court             ,1987,653
               Bombay High Court             ,1988,611
               Bombay High Court             ,1989,521
               Bombay High Court             ,1990,736
               Bombay High Court             ,1991,778
               Bombay High Court             ,1992,742
               Bombay High Court             ,1993,802
               Bombay High Court             ,1994,827
               Bombay High Court             ,1995,676
               Bombay High Court             ,1996,734
               Bombay High Court             ,1997,858
               Bombay High Court             ,1998,869
               Bombay High Court             ,1999,927
               Madras High Court             ,1932,343
               Madras High Court             ,1933,342
               Madras High Court             ,1934,533
               Madras High Court             ,1935,616
               Madras High Court             ,1936,512
               Madras High Court             ,1937,462
               Madras High Court             ,1938,428
               Madras High Court             ,1939,447
               Madras High Court             ,1940,526
               Madras High Court             ,1941,472
               Madras High Court             ,1942,451
               Madras High Court             ,1943,350
               Madras High Court             ,1944,321
               Madras High Court             ,1945,406
               Madras High Court             ,1946,304
               Madras High Court             ,1947,341
               Madras High Court             ,1948,427
               Madras High Court             ,1949,594
               Madras High Court             ,1950,369
               Madras High Court             ,1951,377
               Bombay High Court             ,2000,938
               Bombay High Court             ,2001,991
               Bombay High Court             ,2002,1366
               Bombay High Court             ,2003,1299
               Bombay High Court             ,2004,1439
               Bombay High Court             ,2005,1537
               Bombay High Court             ,2006,1248
               Bombay High Court             ,2007,1348
               Bombay High Court             ,2008,1432
               Bombay High Court             ,2009,2060
               Bombay High Court             ,2010,1943
               Bombay High Court             ,2011,1924
               Bombay High Court             ,2012,2141
               Bombay High Court             ,2013,2044
               Bombay High Court             ,2014,1785
               Bombay High Court             ,2015,2315
               Bombay High Court             ,2016,9488
               Bombay High Court             ,2017,14239
               Bombay High Court             ,2018,201041
               Bombay High Court             ,2019,539073
               Madras High Court             ,1952,364
               Madras High Court             ,1953,364
               Madras High Court             ,1954,298
               Madras High Court             ,1955,219
               Madras High Court             ,1956,409
               Madras High Court             ,1957,373
               Madras High Court             ,1958,342
               Madras High Court             ,1959,403
               Madras High Court             ,1960,305
               Madras High Court             ,1961,402
               Madras High Court             ,1962,405
               Madras High Court             ,1963,420
               Madras High Court             ,1964,292
               Madras High Court             ,1965,331
               Madras High Court             ,1966,305
               Madras High Court             ,1967,515
               Madras High Court             ,1968,453
               Madras High Court             ,1969,434
               Madras High Court             ,1970,281
               Madras High Court             ,1971,463
               Madras High Court             ,1972,539
               Bombay High Court             ,2020,194661
               Madras High Court             ,1973,378
               Madras High Court             ,1974,384
               Madras High Court             ,1975,373
               Madras High Court             ,1976,548
               Madras High Court             ,1977,397
               Madras High Court             ,1978,394
               Madras High Court             ,1979,506
               Madras High Court             ,1980,437
               Madras High Court             ,1981,506
               Madras High Court             ,1982,423
               Madras High Court             ,1983,528
               Madras High Court             ,1984,439
               Madras High Court             ,1985,325
               Madras High Court             ,1986,373
               Madras High Court             ,1987,351
               Madras High Court             ,1988,405
               Madras High Court             ,1989,482
               Madras High Court             ,1990,760
               Madras High Court             ,1991,698
               Madras High Court             ,1992,476
               Madras High Court             ,1993,597
               Madras High Court             ,1994,875
               Madras High Court             ,1995,957
               Madras High Court             ,1996,1129
               Madras High Court             ,1997,1457
               Madras High Court             ,1998,1583
               Madras High Court             ,1999,1017
               Madras High Court             ,2000,907
               Madras High Court             ,2001,1134
               Madras High Court             ,2002,2937
               Madras High Court             ,2003,2662
               Madras High Court             ,2004,2289
               Madras High Court             ,2005,2137
               Madras High Court             ,2006,5689
               Madras High Court             ,2007,6600
               Madras High Court             ,2008,6917
               Madras High Court             ,2009,7192
               Madras High Court             ,2010,8541
               Madras High Court             ,2011,7621
               Madras High Court             ,2012,8486
               Madras High Court             ,2013,6083
               Madras High Court             ,2014,20852
               Madras High Court             ,2015,54768
               Madras High Court             ,2016,68976
               Madras High Court             ,2017,86152
               Madras High Court             ,2018,103218
               Madras High Court             ,2019,117450
               Madras High Court             ,2020,59527
               Madras High Court             ,2022,2
               Madras High Court             ,2027,5
               Madras High Court             ,2028,1
               Madras High Court             ,2103,1
               Madras High Court             ,2104,1
               Madras High Court             ,2105,1
               Madras High Court             ,2106,1
               Madras High Court             ,2108,1
               Madras High Court             ,2136,1
               Madras High Court             ,2417,2
               Madras High Court             ,3016,1
               Madras High Court             ,3018,1
               Supreme Court of India             ,1947,397
               Supreme Court of India             ,1948,30
               Supreme Court of India             ,1949,6
               Supreme Court of India             ,1950,61
               Supreme Court of India             ,1951,85
               Supreme Court of India             ,1952,111
               Supreme Court of India             ,1953,127
               Supreme Court of India             ,1954,187
               Supreme Court of India             ,1955,130
               Supreme Court of India             ,1956,117
               Supreme Court of India             ,1957,155
               Supreme Court of India             ,1958,177
               Supreme Court of India             ,1959,225
               Supreme Court of India             ,1960,343
               Supreme Court of India             ,1961,435
               Supreme Court of India             ,1962,438
               Supreme Court of India             ,1963,307
               Supreme Court of India             ,1964,349
               Supreme Court of India             ,1965,382
               Supreme Court of India             ,1966,313
